Site,Date,Cover,Easting,Northing,Capture,Photo_ID,Sex,Weight,SVL,VTL,Regen,Missing toes,Tail_tipped,DNA
Broadbent,2019-02-26,S21,1442760.0,5279490.0,1.0,BB01,Female,0.0,59.0,12.0,66.0,intact,-1.0,-1.0
Broadbent,2019-02-26,S51,1442600.0,5279403.0,1.0,BB02,Juvenile,0.0,35.0,43.0,0.0,intact,-1.0,-1.0
Broadbent,2019-02-26,BB15,1442622.0,5279416.0,1.0,BB03,Male,0.0,55.0,51.0,0.0,intact,-1.0,-1.0
Broadbent,2019-07-03,BB15,1442622.0,5279416.0,1.0,BB04,Male,0.0,63.0,73.0,0.0,intact,-1.0,-1.0
Broadbent,2019-07-03,S23,1442745.0,5279472.0,1.0,BB05,Male,0.0,67.0,85.0,0.0,intact,-1.0,-1.0
Broadbent,2019-07-03,S48,1442569.0,5279424.0,1.0,,Juvenile,0.0,0.0,0.0,0.0,-1,-1.0,-1.0
Broadbent,2019-12-03,S23,1442745.0,5279472.0,0.0,BB05,Male,0.0,0.0,0.0,0.0,-1,-1.0,-1.0
Broadbent,2019-12-03,S22,1442754.0,5279481.0,1.0,BB06,Female,0.0,71.0,80.0,2.0,intact,-1.0,-1.0
Broadbent,2019-12-03,S21,1442760.0,5279490.0,0.0,BB01,Female,0.0,0.0,0.0,0.0,-1,-1.0,-1.0
Broadbent,2019-03-20,BB15,1442622.0,5279416.0,0.0,,Male,0.0,0.0,0.0,0.0,-1,-1.0,-1.0
Broadbent,2019-04-18,S13,0.0,0.0,1.0,BB07,Female,0.0,70.0,70.0,0.0,intact,1.0,-1.0
Broadbent,2019-04-18,S22,0.0,0.0,0.0,BB06,Female,0.0,0.0,0.0,0.0,-1,-1.0,-1.0
Broadbent,2019-04-18,S42,0.0,0.0,1.0,BB08,Male,0.0,67.0,76.0,0.0,intact,1.0,-1.0
Broadbent,2019-04-18,S51,0.0,0.0,0.0,BB02,Juvenile,0.0,0.0,0.0,0.0,-1,-1.0,-1.0
Chowchuvech,2019-10-04,CC12,0.0,0.0,1.0,C1,Female,0.0,68.0,25.0,0.0,"FL 1, 2",0.0,-1.0
Chowchuvech,2019-10-16,CC12,0.0,0.0,0.0,C1,Female,0.0,71.0,27.0,2.0,"FL 1, 2",1.0,1.0
Chowchuvech,2019-10-16,CC12,0.0,0.0,1.0,C2,Male,0.0,74.0,49.0,1.0,intact,1.0,1.0
Hans Bay,2019-10-23,# 53,0.0,0.0,1.0,H1,Male,0.0,64.0,79.0,0.0,intact,1.0,1.0
Chowchuvech,2020-02-05,CC34,0.0,0.0,0.0,C2,Male,7.84,75.0,13.0,20.0,intact,0.0,-1.0
Chowchuvech,2020-02-10,CC18,0.0,0.0,1.0,C4,Male,4.72,65.0,16.0,0.0,intact,0.0,-1.0
Chowchuvech,2020-02-10,CC34,0.0,0.0,1.0,C5,Male,6.76,67.0,83.0,0.0,intact,1.0,-1.0
Chowchuvech,2020-02-10,CC34,0.0,0.0,0.0,C1,Female,5.84,0.0,0.0,0.0,"FL 1, 2",0.0,-1.0
Chowchuvech,2020-02-10,CC35,0.0,0.0,0.0,C2,Male,0.0,0.0,0.0,0.0,-1,0.0,-1.0
Chowchuvech,2020-02-10,CC35,0.0,0.0,1.0,C3,Female,6.96,75.0,52.0,25.0,intact,1.0,-1.0
Chowchuvech,2020-02-11,CC34,0.0,0.0,1.0,C6,Male,5.4,63.0,68.0,8.0,intact,1.0,-1.0
Chowchuvech,2020-02-11,CC12,0.0,0.0,1.0,C7,Female,7.95,72.0,66.0,33.0,intact,1.0,-1.0
Chowchuvech,2020-02-11,CC33,0.0,0.0,1.0,C8,Male?,3.94,58.0,71.0,0.0,intact,1.0,-1.0
Broadbent,2020-02-11,S40,0.0,0.0,1.0,C9,Male,7.21,67.0,89.0,0.0,intact,1.0,-1.0
Chowchuvech,2020-03-19,CC35,0.0,0.0,0.0,C3,Female,0.0,74.0,50.0,25.0,intact,0.0,-1.0
Chowchuvech,2020-03-19,CC34,0.0,0.0,0.0,C5,Male,0.0,68.0,83.0,0.0,intact,0.0,-1.0
Chowchuvech,2020-03-19,CC14,0.0,0.0,-1.0,C10,-1,0.0,0.0,0.0,0.0,-1,1.0,-1.0
